SPEAKER	VOWEL	F0	F1	F2	F3
W	a	144.46	823	1704	2781
W	i	178.92	290	2406	3513
W	u	159.39	283	934	2775
W	a	151.68	718	1672	2806
W	i	159.22	274	2271	3401
W	u	158.58	276	931	2681
W	i	155.90	255	2455	3567
W	a	139.81	752	1690	2752
W	i	146.82	280	2369	3535
W	a	143.92	857	1631	2786
W	a	141.36	732	1683	2742
W	i	139.53	318	2414	3543
W	i	146.56	261	2363	3484
W	i	153.62	366	2405	3602
W	u	146.48	261	1285	2811
W	u	153.82	310	930	2964
W	i	148.74	300	2319	3442
W	i	159.26	305	2408	3420
W	u	154.08	310	853	2775
W	a	162.91	748	1680	2720
W	a	148.18	642	1705	2707
W	a	147.41	766	1542	2745
W	i	154.91	384	2448	3573
W	u	141.40	302	864	2807
W	a	140.67	760	1628	2742
W	i	155.19	261	2458	3667
W	a	139.42	837	1501	2693
W	i	175.23	284	2439	3523
W	u	156.94	270	880	2538
W	i	154.90	259	2309	3422
W	i	165.15	305	2314	3382
W	u	162.52	293	967	2566
W	a	154.14	686	1661	2753
W	u	153.70	282	956	2630
W	a	150.31	808	1514	2605
W	i	150.78	305	2327	3409
W	u	156.56	294	1000	2506
W	u	163.67	285	1058	2715
W	u	167.68	288	875	2789
W	u	165.95	259	990	2610
W	u	156.78	294	871	2777
W	a	155.16	685	1634	2778
W	i	155.60	259	2375	3454
W	u	158.33	366	1148	2829
W	a	148.02	641	1754	2955
W	u	155.60	307	1016	2572
W	a	141.48	824	1539	2733
W	i	164.74	251	2353	3552
W	a	149.28	793	1396	2591
W	u	168.06	265	1135	2794
W	a	152.74	608	1712	2902
W	i	168.93	266	2391	3573
W	a	156.35	745	1539	2654
W	i	163.33	284	2324	3466
W	u	152.49	306	760	2712
W	a	155.23	606	1778	2814
W	a	158.52	744	1615	2832
W	i	175.57	258	2399	3499
W	u	169.51	298	863	2681
W	a	152.84	698	1732	2874
W	i	161.24	265	2385	3493
W	u	155.14	265	996	2657
W	i	163.71	269	2486	3597
W	a	143.96	738	1715	2739
W	i	152.23	270	2444	3565
W	a	154.57	823	1639	2869
W	a	145.24	777	1636	2703
W	i	163.02	303	2371	3580
W	i	156.53	269	2399	3513
W	i	174.77	362	2433	3614
W	u	174.78	305	1117	2763
W	u	179.93	295	896	2825
W	i	156.32	337	2367	3496
W	i	181.56	339	2457	3531
W	u	166.47	306	805	2794
W	a	149.38	755	1553	2665
W	a	153.32	727	1758	2752
W	a	161.10	725	1431	2676
W	i	149.71	412	2428	3606
W	u	163.30	297	821	2700
W	a	149.14	763	1586	2779
W	i	159.40	264	2506	3653
W	a	143.46	847	1468	2709
W	i	222.79	278	2425	3500
W	i	198.44	275	2410	3553
W	u	165.84	273	904	2656
W	i	164.03	291	2389	3516
W	i	160.47	301	2310	3375
W	u	157.70	302	952	2536
W	a	150.87	738	1562	2756
W	u	149.46	287	899	2625
W	a	142.40	808	1483	2641
W	i	157.24	323	2355	3493
W	u	143.32	279	959	2572
W	u	177.49	290	1136	2700
W	u	168.60	331	947	2830
W	u	157.96	289	935	2758
W	u	158.40	296	875	2875
W	a	156.37	746	1587	2794
W	i	195.16	294	2450	3579
W	u	182.77	310	965	2807
W	a	143.49	671	1723	3005
W	u	146.05	286	851	2553
W	a	139.13	848	1543	2755
